"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100634-Z_57617_STOP","371A00","AK 7 - CL 69","4.651736","-74.057276","0","","0","","","","0","",""
"100634-Z_57806_STOP","827A00","AK 7 - CL 70","4.653","-74.05618","0","","0","","","","0","",""
"100634-Z_57615_STOP","367A00","AK 7 - CL 74","4.656357","-74.054691","0","","0","","","","0","",""
"100634-Z_57616_STOP","368A00","AK 7 - CL 74","4.657222","-74.053817","0","","0","","","","0","",""
"100634-Z_57614_STOP","366A00","AK 7 - CL 76","4.659093","-74.052374","0","","0","","","","0","",""
"100634-Z_57613_STOP","365A00","AK 7 - CL 77","4.65998","-74.051791","0","","0","","","","0","",""
"100634-Z_56887_STOP","041A00","AK 7 - CL 81","4.662746","-74.048791","0","","0","","","","0","",""
"100634-Z_57612_STOP","364A00","AK 7 - CL 83","4.663372","-74.048516","0","","0","","","","0","",""
"100634-Z_56885_STOP","039A00","AK 7 - CL 88","4.669671","-74.044477","0","","0","","","","0","",""
"100634-Z_57587_STOP","348A00","AK 7 - CL 89","4.670195","-74.044491","0","","0","","","","0","",""
"100634-Z_57583_STOP","344A00","AK 7 - CL 94","4.67514","-74.040967","0","","0","","","","0","",""
"100634-Z_56317_STOP","053A01","AK 9 - Cl141","4.718387","-74.032304","0","","0","","","","0","",""
"100634-Z_59190_STOP","979V08","CL 1 - KR 64","4.61888","-74.12442","0","","0","","","","0","",""
"100634-Z_59189_STOP","680A08","CL 1 - TV 64","4.619924","-74.124235","0","","0","","","","0","",""
"100634-Z_57881_STOP","652A00","CL 17 - KR 7","4.603794","-74.072662","0","","0","","","","0","",""
"100634-Z_56008_STOP","585A13","CL 1F - KR 5","4.587423","-74.078584","0","","0","","","","0","",""
"100634-Z_54544_STOP","474A08","CL 2 - KR 54","4.616008","-74.121799","0","","0","","","","0","",""
"100634-Z_57726_STOP","502A00","CL 20 - KR 3","4.603632","-74.067151","0","","0","","","","0","",""
"100634-Z_57728_STOP","505A00","CL 22 - KR 2","4.605035","-74.066068","0","","0","","","","0","",""
"100634-Z_56758_STOP","398A07","CL 22 -KR 44","4.622416","-74.104604","0","","0","","","","0","",""
"100634-Z_57013_STOP","113A00","CL 24 - KR 4","4.6081","-74.067164","0","","0","","","","0","",""
"100634-Z_57011_STOP","111A00","CL 24 - KR 5","4.609328","-74.069122","0","","0","","","","0","",""
"100634-Z_55958_STOP","539A13","CL 2A - KR 2","4.58711","-74.075832","0","","0","","","","0","",""
"100634-Z_56878_STOP","031A00","CL 3 - AK 27","4.601534","-74.098159","0","","0","","","","0","",""
"100634-Z_56877_STOP","030A00","CL 3 - KR 24","4.599572","-74.095384","0","","0","","","","0","",""
"100634-Z_56879_STOP","032A00","CL 3 - KR 26","4.600902","-74.096973","0","","0","","","","0","",""
"100634-Z_57164_STOP","185A00","CL 33 - AK 7","4.620218","-74.06799","0","","0","","","","0","",""
"100634-Z_57861_STOP","781A00","CL 34 - KR 6","4.6211","-74.066576","0","","0","","","","0","",""
"100634-Z_57784_STOP","612A00","CL 36 - AK 7","4.623735","-74.067258","0","","0","","","","0","",""
"100634-Z_57678_STOP","450A00","CL 4 - AK 10","4.593557","-74.082667","0","","0","","","","0","",""
"100634-Z_57677_STOP","442A00","CL 4 - KR 12","4.59518","-74.085237","0","","0","","","","0","",""
"100634-Z_57676_STOP","441A00","CL 4 - KR 16","4.596605","-74.087763","0","","0","","","","0","",""
"100634-Z_50440_STOP","805A00","CL 46 - KR 8","4.632862","-74.064901","0","","0","","","","0","",""
"100634-Z_57758_STOP","551A00","CL 51 - KR 3","4.635456","-74.060474","0","","0","","","","0","",""
"100634-Z_56527_STOP","262A07","CL 5A - Ak50","4.620755","-74.11188","0","","0","","","","0","",""
"100634-Z_57785_STOP","613A00","CL 62 - KR 3","4.645319","-74.057442","0","","0","","","","0","",""
"100634-Z_57770_STOP","584A00","CL 67 - KR 8","4.651477","-74.059362","0","","0","","","","0","",""
"100634-Z_56746_STOP","386A07","CL 7 - KR 90","4.652612","-74.157207","0","","0","","","","0","",""
"100634-Z_50495_STOP","711A00","CL 73 - KR 9","4.657896","-74.057325","0","","0","","","","0","",""
"100634-Z_57796_STOP","817A00","CL 81 - KR 8","4.66361","-74.051228","0","","0","","","","0","",""
"100634-Z_56513_STOP","245A07","CL 9 - KR 38","4.616437","-74.103263","0","","0","","","","0","",""
"100634-Z_56401_STOP","094A01","Cl140 - KR 9","4.717844","-74.033037","0","","0","","","","0","",""
"100634-Z_59036_STOP","681A08","DG 2 - KR 60","4.619333","-74.123542","0","","0","","","","0","",""
"100634-Z_59001_STOP","980V08","DG 2 - KR 66","4.622111","-74.123761","0","","0","","","","0","",""
"100634-Z_57779_STOP","603A00","DG 91 - KR 4","4.669103","-74.040758","0","","0","","","","0","",""
"100634-Z_57778_STOP","602A00","DG 91 - KR 4","4.669336","-74.041073","0","","0","","","","0","",""
"100634-Z_59071_STOP","905A00","KR 1 - CL 42","4.628757","-74.062173","0","","0","","","","0","",""
"100634-Z_57837_STOP","807A00","KR 18 - CL 3","4.596436","-74.089702","0","","0","","","","0","",""
"100634-Z_55959_STOP","540A13","KR 1A - CL 3","4.588209","-74.074444","0","","0","","","","0","",""
"100634-Z_57085_STOP","155A00","KR 24 - AC 6","4.602066","-74.093545","0","","0","","","","0","",""
"100634-Z_57834_STOP","803A00","KR 24 - CL 7","4.604105","-74.092255","0","","0","","","","0","",""
"100634-Z_57259_STOP","200B00","KR 24 - CL 9","4.60625","-74.09086","0","","0","","","","0","",""
"100634-Z_55650_STOP","329A13","KR 3 - CL 1c","4.584831","-74.07768","0","","0","","","","0","",""
"100634-Z_55651_STOP","330A13","KR 3 - CL 1c","4.585257","-74.077308","0","","0","","","","0","",""
"100634-Z_57894_STOP","665B00","KR 3 - CL 20","4.604446","-74.067225","0","","0","","","","0","",""
"100634-Z_57893_STOP","665A00","KR 3 - CL 21","4.605057","-74.066876","0","","0","","","","0","",""
"100634-Z_57892_STOP","664A00","KR 3 - CL 21","4.60508","-74.067225","0","","0","","","","0","",""
"100634-Z_57836_STOP","804A00","KR 3 - CL 31","4.616085","-74.062913","0","","0","","","","0","",""
"100634-Z_58955_STOP","605A13","KR 3 - CL 6d","4.592639","-74.073816","0","","0","","","","0","",""
"100634-Z_57690_STOP","480A00","KR 4 - AC 19","4.604264","-74.068603","0","","0","","","","0","",""
"100634-Z_57683_STOP","462A00","KR 4 - CL 12","4.59789","-74.071903","0","","0","","","","0","",""
"100634-Z_57782_STOP","608A00","KR 4 - CL 17","4.602083","-74.069503","0","","0","","","","0","",""
"100634-Z_57727_STOP","504A00","KR 4 - CL 22","4.606908","-74.067464","0","","0","","","","0","",""
"100634-Z_55653_STOP","333A13","KR 4 - CL 2b","4.587115","-74.077433","0","","0","","","","0","",""
"100634-Z_57767_STOP","564A00","KR 4 - CL 64","4.64718","-74.056697","0","","0","","","","0","",""
"100634-Z_57689_STOP","479A00","KR 5 - AC 19","4.604942","-74.069998","0","","0","","","","0","",""
"100634-Z_57015_STOP","115A00","KR 5 - CL 11","4.597232","-74.073417","0","","0","","","","0","",""
"100634-Z_57691_STOP","481A00","KR 5 - CL 22","4.607831","-74.068769","0","","0","","","","0","",""
"100634-Z_57891_STOP","663A00","KR 5 - CL 26","4.612289","-74.067399","0","","0","","","","0","",""
"100634-Z_57838_STOP","808A00","KR 5 - CL 35","4.622095","-74.063279","0","","0","","","","0","",""
"100634-Z_57768_STOP","565A00","KR 5 - CL 66","4.649351","-74.057253","0","","0","","","","0","",""
"100634-Z_56469_STOP","208A07","KR 56 - AC 3","4.620009","-74.119365","0","","0","","","","0","",""
"100634-Z_54545_STOP","475A08","KR 56 - CL 2","4.61683","-74.122108","0","","0","","","","0","",""
"100634-Z_55649_STOP","328A13","KR 6 - CL 1f","4.588846","-74.079478","0","","0","","","","0","",""
"100634-Z_56189_STOP","085A07","KR 78 - AC 8","4.638886","-74.141438","0","","0","","","","0","",""
"100634-Z_54701_STOP","559A08","KR 78 - CL 4","4.628119","-74.145213","0","","0","","","","0","",""
"100634-Z_55920_STOP","514A13","KR 8 - CL 1d","4.588916","-74.081979","0","","0","","","","0","",""
"100634-Z_58401_STOP","653A00","KR 9 - CL 18","4.6059","-74.0732","0","","0","","","","0","",""
"100634-Z_59054_STOP","901A00","KR 9 - CL 21","4.607696","-74.072393","0","","0","","","","0","",""
"100634-Z_57882_STOP","654A00","KR 9 - CL 22","4.60882","-74.07172","0","","0","","","","0","",""
"100634-Z_57004_STOP","104A00","KR 9 - CL 64","4.649271","-74.06031","0","","0","","","","0","",""
"100634-Z_57471_STOP","279A00","KR 9 - CL 67","4.651967","-74.059481","0","","0","","","","0","",""
"100634-Z_57885_STOP","657A00","KR 9 - CL 6a","4.593417","-74.080906","0","","0","","","","0","",""
"100634-Z_57472_STOP","280A00","KR 9 - CL 70","4.654291","-74.058018","0","","0","","","","0","",""
"100634-Z_57638_STOP","394A00","KR 9 - CL 71","4.65559","-74.057143","0","","0","","","","0","",""
"100634-Z_57005_STOP","105A00","KR 9 - CL 73","4.657304","-74.055943","0","","0","","","","0","",""
"100634-Z_57006_STOP","106A00","KR 9 - CL 76","4.66027","-74.05398","0","","0","","","","0","",""
"100634-Z_57007_STOP","107A00","KR 9 - CL 79","4.662224","-74.052705","0","","0","","","","0","",""
"100634-Z_57542_STOP","318A00","KR 9 - CL 81","4.663511","-74.051834","0","","0","","","","0","",""
"100634-Z_57873_STOP","639A00","TV 3 - CL 51","4.637228","-74.061633","0","","0","","","","0","",""
"100634-Z_56110_STOP","052A07","TV 42 - CL 3","4.615604","-74.113378","0","","0","","","","0","",""
"100634-Z_56681_STOP","374A07","TV 42 - CL 4","4.616753","-74.110631","0","","0","","","","0","",""
"100634-Z_57830_STOP","798A00","TV 5 - CL 88","4.66893","-74.044157","0","","0","","","","0","",""
