"fare_id","route_id","origin_id","destination_id","contains_id"
"100634-3","100634-Z_6243","0","",""
"100634-3","100634-Z_7013","0","",""
"100634-3","100634-Z_7013","0","",""
"100634-3","100634-Z_7269-2","0","",""
"100634-3","100634-Z_7270-2","0","",""
"100634-3","100634-Z_7270-2","0","",""
"100634-3","100634-Z_7833-2","0","",""
"100634-3","100634-Z_7702-2","0","",""
"100634-3","100634-Z_7337-2","0","",""
"100634-3","100634-Z_7337-2","0","",""
"100634-3","100634-Z_7337-2","0","",""
"100634-3","100634-Z_7336","0","",""
"100634-3","100634-Z_7926-2","0","",""
"100634-3","100634-Z_7926-2","0","",""
"100634-3","100634-Z_7086","0","",""
"100634-3","100634-Z_7450-2","0","",""
"100634-3","100634-Z_7450-2","0","",""
"100634-3","100634-Z_7100-2","0","",""
"100634-3","100634-Z_7796","0","",""
"100634-3","100634-Z_7794","0","",""
"100634-3","100634-Z_7108-2","0","",""
"100634-3","100634-Z_6472","0","",""
"100634-3","100634-Z_6472","0","",""
"100634-3","100634-Z_6986-2","0","",""
"100634-3","100634-Z_6986-2","0","",""
"100634-3","100634-Z_7694","0","",""
"100634-3","100634-Z_7922-2","0","",""
"100634-3","100634-Z_7598-2","0","",""
"100634-3","100634-Z_7087-2","0","",""
"100634-3","100634-Z_7295-2","0","",""
"100634-3","100634-Z_7295","0","",""
"100634-3","100634-Z_7594","0","",""
"100634-3","100634-Z_7930","0","",""
"100634-3","100634-Z_7930","0","",""
"100634-3","100634-Z_7459-2","0","",""
"100634-3","100634-Z_7456-2","0","",""
"100634-3","100634-Z_7455-2","0","",""
"100634-3","100634-Z_7455-2","0","",""
"100634-3","100634-Z_6480","0","",""
"100634-3","100634-Z_7122","0","",""
"100634-3","100634-Z_7267","0","",""
"100634-3","100634-Z_6987","0","",""
"100634-3","100634-Z_7333","0","",""
"100634-3","100634-Z_7333-2","0","",""
"100634-3","100634-Z_7668","0","",""
"100634-3","100634-Z_7668","0","",""
"100634-3","100634-Z_7530-2","0","",""
"100634-3","100634-Z_7530-2","0","",""
"100634-3","100634-Z_7832-2","0","",""
"100634-3","100634-Z_7734","0","",""
"100634-3","100634-Z_7879","0","",""
"100634-3","100634-Z_7881","0","",""
"100634-3","100634-Z_6120","0","",""
"100634-3","100634-Z_7413","0","",""
"100634-3","100634-Z_6398-2","0","",""
"100634-3","100634-Z_6398-2","0","",""
"100634-3","100634-Z_7000","0","",""
"100634-3","100634-Z_7090","0","",""
"100634-3","100634-Z_7056","0","",""
"100634-3","100634-Z_4652-2","0","",""
"100634-3","100634-Z_4652-2","0","",""
"100634-3","100634-Z_5330-2","0","",""
"100634-3","100634-Z_5330-2","0","",""
"100634-3","100634-Z_7802-2","0","",""
"100634-3","100634-Z_7802-2","0","",""
"100634-3","100634-Z_7876-2","0","",""
"100634-3","100634-Z_6325","0","",""
"100634-3","100634-Z_7911-2","0","",""
"100634-3","100634-Z_7055-2","0","",""
"100634-3","100634-Z_7072","0","",""
"100634-3","100634-Z_7072","0","",""
"100634-3","100634-Z_7904-2","0","",""
"100634-3","100634-Z_7904-2","0","",""
"100634-3","100634-Z_7819-2","0","",""
"100634-3","100634-Z_7819-2","0","",""
"100634-3","100634-Z_7872-2","0","",""
"100634-3","100634-Z_7872-2","0","",""
"100634-3","100634-Z_5339","0","",""
"100634-3","100634-Z_7539","0","",""
"100634-3","100634-Z_7407","0","",""
"100634-3","100634-Z_7836","0","",""
"100634-3","100634-Z_7836","0","",""
"100634-3","100634-Z_7540-2","0","",""
"100634-3","100634-Z_7513-2","0","",""
"100634-3","100634-Z_7513-2","0","",""
"100634-3","100634-Z_5899-2","0","",""
"100634-3","100634-Z_5899-2","0","",""
"100634-3","100634-Z_7395-2","0","",""
"100634-3","100634-Z_7395-2","0","",""
"100634-3","100634-Z_7115","0","",""
"100634-3","100634-Z_7878","0","",""
"100634-3","100634-Z_7741","0","",""
"100634-3","100634-Z_7741","0","",""
"100634-3","100634-Z_7898","0","",""
"100634-3","100634-Z_7899","0","",""
"100634-3","100634-Z_5340-2","0","",""
"100634-3","100634-Z_6717","0","",""
"100634-3","100634-Z_6717","0","",""
"100634-3","100634-Z_7721","0","",""
"100634-3","100634-Z_7768","0","",""
"100634-3","100634-Z_7739-2","0","",""
"100634-3","100634-Z_7740-2","0","",""
"100634-3","100634-Z_6314-2","0","",""
"100634-3","100634-Z_7726-2","0","",""
"100634-3","100634-Z_7803","0","",""
"100634-3","100634-Z_7381-2","0","",""
"100634-3","100634-Z_7381-2","0","",""
"100634-3","100634-Z_7725-2","0","",""
"100634-3","100634-Z_7716","0","",""
"100634-3","100634-Z_7717","0","",""
"100634-3","100634-Z_7408","0","",""
"100634-3","100634-Z_7673-2","0","",""
"100634-3","100634-Z_5602","0","",""
"100634-3","100634-Z_7157","0","",""
"100634-3","100634-Z_6079","0","",""
"100634-3","100634-Z_7806","0","",""
"100634-3","100634-Z_7134","0","",""
"100634-3","100634-Z_7764","0","",""
"100634-3","100634-Z_7693","0","",""
"100634-3","100634-Z_7831","0","",""
"100634-3","100634-Z_7268","0","",""
"100634-3","100634-Z_7733","0","",""
"100634-3","100634-Z_7317","0","",""
"100634-3","100634-Z_6314","0","",""
"100634-3","100634-Z_5812-2","0","",""
"100634-3","100634-Z_6847-2","0","",""
"100634-3","100634-Z_6829-2","0","",""
"100634-3","100634-Z_4517-2","0","",""
"100634-3","100634-Z_4517-2","0","",""
"100634-3","100634-Z_4862-2","0","",""
"100634-3","100634-Z_4862-2","0","",""
"100634-3","100634-Z_7232-2","0","",""
"100634-3","100634-Z_7686-2","0","",""
"100634-3","100634-Z_7735","0","",""
"100634-3","100634-Z_5602-2","0","",""
"100634-3","100634-Z_7157-2","0","",""
"100634-3","100634-Z_5743-2","0","",""
"100634-3","100634-Z_5743-2","0","",""
"100634-3","100634-Z_6521-2","0","",""
"100634-3","100634-Z_6830-2","0","",""
"100634-3","100634-Z_6490-2","0","",""
"100634-3","100634-Z_7575-2","0","",""
"100634-3","100634-Z_6449-2","0","",""
"100634-3","100634-Z_6545-2","0","",""
"100634-3","100634-Z_6493-2","0","",""
"100634-3","100634-Z_7519","0","",""
"100634-3","100634-Z_7519","0","",""
"100634-3","100634-Z_7519","0","",""
"100634-3","100634-Z_7519","0","",""
"100634-3","100634-Z_7622","0","",""
"100634-3","100634-Z_7622-2","0","",""
"100634-3","100634-Z_7059-2","0","",""
"100634-3","100634-Z_7628","0","",""
"100634-3","100634-Z_7372","0","",""
"100634-3","100634-Z_7621","0","",""
"100634-3","100634-Z_7720-2","0","",""
"100634-3","100634-Z_7720-2","0","",""
"100634-3","100634-Z_7718-2","0","",""
"100634-3","100634-Z_7902-2","0","",""
"100634-3","100634-Z_7902","0","",""
"100634-3","100634-Z_7585","0","",""
"100634-3","100634-Z_7745-2","0","",""
"100634-3","100634-Z_7859","0","",""
"100634-3","100634-Z_6914","0","",""
"100634-3","100634-Z_7239-2","0","",""
"100634-3","100634-Z_7269","0","",""
"100634-3","100634-Z_7795","0","",""
"100634-3","100634-Z_7795","0","",""
"100634-3","100634-Z_7911","0","",""
"100634-3","100634-Z_7715","0","",""
"100634-3","100634-Z_7575","0","",""
"100634-3","100634-Z_7356","0","",""
"100634-3","100634-Z_7606","0","",""
"100634-3","100634-Z_6635-2","0","",""
"100634-3","100634-Z_6635-2","0","",""
"100634-3","100634-Z_7909-2","0","",""
"100634-3","100634-Z_7909-2","0","",""
"100634-3","100634-Z_5532-2","0","",""
"100634-3","100634-Z_6079-2","0","",""
"100634-3","100634-Z_7643","0","",""
"100634-3","100634-Z_7643","0","",""
"100634-3","100634-Z_7345-2","0","",""
"100634-3","100634-Z_7824-2","0","",""
"100634-3","100634-Z_5339-2","0","",""
"100634-3","100634-Z_5791-2","0","",""
"100634-3","100634-Z_5791-2","0","",""
"100634-3","100634-Z_7885-2","0","",""
"100634-3","100634-Z_7885-2","0","",""
"100634-3","100634-Z_6154-2","0","",""
"100634-3","100634-Z_6179-2","0","",""
"100634-3","100634-Z_7413-2","0","",""
"100634-3","100634-Z_7256","0","",""
"100634-3","100634-Z_7806-2","0","",""
"100634-3","100634-Z_6385-2","0","",""
"100634-3","100634-Z_7901-2","0","",""
"100634-3","100634-Z_7901-2","0","",""
"100634-3","100634-Z_7243-2","0","",""
"100634-3","100634-Z_7813-2","0","",""
"100634-3","100634-Z_6441-2","0","",""
"100634-3","100634-Z_6441-2","0","",""
"100634-3","100634-Z_7895-2","0","",""
"100634-3","100634-Z_7146-2","0","",""
"100634-3","100634-Z_7371-2","0","",""
"100634-3","100634-Z_7539-2","0","",""
"100634-3","100634-Z_7446-2","0","",""
"100634-3","100634-Z_7562-2","0","",""
"100634-3","100634-Z_7562-2","0","",""
"100634-3","100634-Z_7691-2","0","",""
"100634-3","100634-Z_7538-2","0","",""
"100634-3","100634-Z_7561","0","",""
