route_id,service_id,trip_id,shape_id
Z_7804,3,BCH4F0009-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0010-18-3_Z_7804,Z_7804
